strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,26,400,4,rep2,40043.0,10.59770915569734
MIT9312,26,400,5,rep2,36002.0,10.49132977145065
MIT9312,26,400,7,rep2,20400.0,9.923290179832307
MIT9312,26,400,8,rep2,13160.0,9.484937204879309
MIT9312,26,400,10,rep2,6800.0,8.824677891164198
MIT9312,28,400,1,rep2,39760.0,10.590616660770511
MIT9312,28,400,4,rep2,67482.0,11.119616174632077
MIT9312,28,400,5,rep2,75472.0,11.231517005524044
MIT9312,28,400,7,rep2,81190.0,11.304547365856493
MIT9312,28,400,8,rep2,92180.0,11.4314984662745
MIT9312,28,400,10,rep2,87550.0,11.379965337713998
MIT9312,14,0,1,rep2,3414.0,8.135639903354386
MIT9312,16,0,1,rep2,3964.0,8.285008895449879
MIT9312,16,0,4,rep2,722.0,6.582025138892826
MIT9312,16,0,5,rep2,510.0,6.234410725718371
MIT9312,16,0,7,rep2,637.0,6.456769655572163
MIT9312,16-19,0,1,rep2,3877.0,8.262816937670928
MIT9312,16-19,0,4,rep2,723.0,6.583409222158765
MIT9312,16-19,0,5,rep2,637.0,6.456769655572163
MIT9312,16-19,0,7,rep2,1786.0,7.487733761436444
MIT9312,16-19,0,8,rep2,297.0,5.6937321388027
MIT9312,16-19,0,10,rep2,680.0,6.522092798170152
MIT9312,19,0,1,rep2,39008.0,10.571522032280997
MIT9312,19,0,4,rep2,109264.0,11.60152225120087
MIT9312,19,0,5,rep2,142319.0,11.865826295895694
MIT9312,19,0,7,rep2,416220.0,12.938969245607401
MIT9312,19,0,8,rep2,590160.0,13.288148965558184
MIT9312,19,0,10,rep2,1280210.0,14.06253468493902
MIT9312,22,0,1,rep2,44116.0,10.694577807426038
MIT9312,22,0,4,rep2,158541.0,11.973768513927707
MIT9312,22,0,5,rep2,278345.0,12.53661663045409
MIT9312,22,0,7,rep2,869330.0,13.675478078997392
MIT9312,22,0,8,rep2,1645540.0,14.313579155790833
MIT9312,22,0,10,rep2,3382750.0,15.03419954612589
MIT9312,24,0,1,rep2,54759.0,10.910697017730893
MIT9312,24,0,4,rep2,241427.0,12.39432242894702
MIT9312,24,0,5,rep2,348416.0,12.761152447131028
MIT9312,24,0,7,rep2,1299260.0,14.077305429589192
MIT9312,24,0,8,rep2,2086680.0,14.551084844164114
MIT9312,24,0,10,rep2,5184650.0,15.461212894956574
MIT9312,26,0,1,rep2,50181.0,10.823391747980118
MIT9312,26,0,4,rep2,111623.0,11.622882400885027
